職業,総数,男,女,old_title
総数,59607700,34099160,25508550,総数
管理的職業従事者,1439180,1242530,196650,管理的職業従事者
管理的公務員,59010,53970,5040, 管理的公務員
管理的公務員,59010,53970,5040, 管理的公務員
法人・団体役員,1111600,949000,162600, 法人・団体役員
会社役員,1058260,905340,152920, 会社役員
その他の法人・団体役員,53350,43660,9680, その他の法人・団体役員
その他の管理的職業従事者,268570,239550,29010, その他の管理的職業従事者
法人・団体管理的職業従事者,184130,175470,8650, 法人・団体管理的職業従事者
他に分類されない管理的職業従事者,84440,64080,20360, 他に分類されない管理的職業従事者
専門的・技術的職業従事者,8617020,4577410,4039610,専門的・技術的職業従事者
研究者,115880,95650,20230, 研究者
自然科学系研究者,110150,91420,18730, 自然科学系研究者
人文・社会科学系等研究者,5730,4230,1510, 人文・社会科学系等研究者
技術者,2153670,1966850,186820, 技術者
農林水産・食品技術者,49810,41800,8020, 農林水産・食品技術者
電気・電子・電気通信技術者通信ネットワーク技術者を除く,292130,281450,10680, 電気・電子・電気通信技術者通信ネットワーク技術者を除く
機械技術者,203910,195940,7970, 機械技術者
輸送用機器技術者,95600,92490,3110, 輸送用機器技術者
金属技術者,20660,20110,550, 金属技術者
化学技術者,73690,63180,10510, 化学技術者
建築技術者,215650,196840,18800, 建築技術者
土木・測量技術者,242830,236960,5870, 土木・測量技術者
システムコンサルタント・設計者,460570,405630,54940, システムコンサルタント・設計者
ソフトウェア作成者,323580,277040,46540, ソフトウェア作成者
その他の情報処理・通信技術者,118610,102830,15770, その他の情報処理・通信技術者
その他の技術者,56640,52580,4060, その他の技術者
保健医療従事者,2580400,750800,1829600, 保健医療従事者
医師,262630,211470,51160, 医師
歯科医師,92580,72390,20190, 歯科医師
獣医師,22290,16290,5990, 獣医師
薬剤師,200470,68220,132250, 薬剤師
保健師,37860,510,37360, 保健師
助産師,24270,-,24270, 助産師
看護師准看護師を含む,1204220,69630,1134590, 看護師准看護師を含む
診療放射線技師,45960,36700,9260, 診療放射線技師
臨床検査技師,71800,21490,50310, 臨床検査技師
理学療法士作業療法士,94550,46550,48000, 理学療法士作業療法士
視能訓練士言語聴覚士,15280,2810,12470, 視能訓練士言語聴覚士
歯科衛生士,97370,120,97260, 歯科衛生士
歯科技工士,45520,38250,7270, 歯科技工士
栄養士,101120,4660,96460, 栄養士
あん摩マッサージ指圧師はり師きゅう師柔道整復師,118710,85240,33480, あん摩マッサージ指圧師はり師きゅう師柔道整復師
その他の保健医療従事者,145770,76490,69280, その他の保健医療従事者
社会福祉専門職業従事者,805110,126890,678230, 社会福祉専門職業従事者
保育士,474900,13160,461750, 保育士
その他の社会福祉専門職業従事者,330210,113730,216480, その他の社会福祉専門職業従事者
法務従事者,76310,63940,12370, 法務従事者
裁判官検察官弁護士,25960,21840,4120, 裁判官検察官弁護士
弁理士司法書士,24070,20970,3110, 弁理士司法書士
その他の法務従事者,26270,21130,5150, その他の法務従事者
経営・金融・保険専門職業従事者,150900,131280,19620, 経営・金融・保険専門職業従事者
公認会計士,18250,15710,2540, 公認会計士
税理士,57490,50120,7370, 税理士
社会保険労務士,16630,12460,4180, 社会保険労務士
その他の経営・金融・保険専門職業従事者,58530,52990,5540, その他の経営・金融・保険専門職業従事者
教員,1391560,706820,684740, 教員
幼稚園教員,98190,6140,92050, 幼稚園教員
小学校教員,414410,148540,265880, 小学校教員
中学校教員,241030,136400,104640, 中学校教員
高等学校教員,277500,186670,90840, 高等学校教員
特別支援学校教員,69050,27450,41600, 特別支援学校教員
大学教員,175940,129420,46520, 大学教員
その他の教員,115440,72210,43230, その他の教員
宗教家,113380,97090,16280, 宗教家
宗教家,113380,97090,16280, 宗教家
著述家記者編集者,109980,70730,39250, 著述家記者編集者
著述家,24930,14830,10090, 著述家
記者編集者,85050,55900,29150, 記者編集者
美術家デザイナー写真家映像撮影者,276320,168990,107320, 美術家デザイナー写真家映像撮影者
彫刻家画家工芸美術家,31200,18400,12800, 彫刻家画家工芸美術家
デザイナー,179570,102280,77290, デザイナー
写真家映像撮影者,65540,48310,17230, 写真家映像撮影者
音楽家舞台芸術家,73810,47860,25940, 音楽家舞台芸術家
音楽家,22770,13410,9360, 音楽家
舞踊家俳優演出家演芸家,51030,34450,16580, 舞踊家俳優演出家演芸家
その他の専門的職業従事者,769700,350500,419190, その他の専門的職業従事者
図書館司書学芸員,32610,5990,26620, 図書館司書学芸員
個人教師音楽,77500,8450,69050, 個人教師音楽
個人教師舞踊俳優演出演芸,20100,5080,15020, 個人教師舞踊俳優演出演芸
個人教師スポーツ,91080,42590,48490, 個人教師スポーツ
個人教師学習指導,183570,96060,87500, 個人教師学習指導
個人教師他に分類されないもの,110790,25770,85020, 個人教師他に分類されないもの
職業スポーツ従事者,11840,11120,720, 職業スポーツ従事者
通信機器操作従事者,17540,15430,2110, 通信機器操作従事者
他に分類されない専門的職業従事者,224680,140020,84660, 他に分類されない専門的職業従事者
事務従事者,11076140,4464250,6611900,事務従事者
一般事務従事者,7669500,3136270,4533230, 一般事務従事者
庶務・人事事務員,825010,356460,468550, 庶務・人事事務員
受付・案内事務員,355640,46600,309040, 受付・案内事務員
電話応接事務員,245710,45000,200710, 電話応接事務員
総合事務員,3091490,789450,2302040, 総合事務員
その他の一般事務従事者,3151650,1898770,1252880, その他の一般事務従事者
会計事務従事者,1617370,427960,1189410, 会計事務従事者
会計事務従事者,1617370,427960,1189410, 会計事務従事者
生産関連事務従事者,490980,338780,152200, 生産関連事務従事者
生産関連事務従事者,490980,338780,152200, 生産関連事務従事者
営業・販売事務従事者,562860,219000,343860, 営業・販売事務従事者
営業・販売事務従事者,562860,219000,343860, 営業・販売事務従事者
外勤事務従事者,153600,54100,99510, 外勤事務従事者
集金人,31780,12570,19220, 集金人
調査員,82300,30410,51890, 調査員
その他の外勤事務従事者,39520,11120,28400, その他の外勤事務従事者
運輸・郵便事務従事者,367340,228800,138540, 運輸・郵便事務従事者
運輸事務員,201160,152150,49020, 運輸事務員
郵便事務員,166180,76660,89520, 郵便事務員
事務用機器操作員,214480,59330,155150, 事務用機器操作員
パーソナルコンピュータ操作員,89560,27130,62430, パーソナルコンピュータ操作員
データ・エントリー装置操作員,95940,16180,79760, データ・エントリー装置操作員
その他の事務用機器操作員,28990,16020,12960, その他の事務用機器操作員
販売従事者,7943680,4589840,3353840,販売従事者
商品販売従事者,4242450,1590780,2651680, 商品販売従事者
小売店主・店長,433860,311430,122430, 小売店主・店長
卸売店主・店長,61620,54930,6690, 卸売店主・店長
販売店員,3636820,1147330,2489490, 販売店員
商品訪問・移動販売従事者,42540,17860,24680, 商品訪問・移動販売従事者
再生資源回収・卸売従事者,28720,26270,2440, 再生資源回収・卸売従事者
商品仕入外交員,38900,32960,5940, 商品仕入外交員
販売類似職業従事者,444910,242350,202560, 販売類似職業従事者
不動産仲介・売買人,95810,76610,19200, 不動産仲介・売買人
保険代理・仲立人ブローカー,38060,29350,8700, 保険代理・仲立人ブローカー
その他の販売類似職業従事者,311040,136380,174660, その他の販売類似職業従事者
営業職業従事者,3256320,2756710,499600, 営業職業従事者
医薬品営業職業従事者,101680,91820,9860, 医薬品営業職業従事者
機械器具・通信・システム営業職業従事者,674520,636690,37830, 機械器具・通信・システム営業職業従事者
金融・保険営業職業従事者,519740,273660,246080, 金融・保険営業職業従事者
不動産営業職業従事者,107200,89900,17300, 不動産営業職業従事者
その他の営業職業従事者,1853170,1664640,188540, その他の営業職業従事者
サービス職業従事者,6808580,2212420,4596160,サービス職業従事者
家庭生活支援サービス職業従事者,24220,910,23310, 家庭生活支援サービス職業従事者
家政婦夫家事手伝い,16430,400,16030, 家政婦夫家事手伝い
その他の家庭生活支援サービス職業従事者,7790,510,7280, その他の家庭生活支援サービス職業従事者
介護サービス職業従事者,1261850,250150,1011700, 介護サービス職業従事者
介護職員医療・福祉施設等,986150,229580,756570, 介護職員医療・福祉施設等
訪問介護従事者,275690,20570,255120, 訪問介護従事者
保健医療サービス職業従事者,330320,21450,308870, 保健医療サービス職業従事者
看護助手,148210,11470,136750, 看護助手
その他の保健医療サービス職業従事者,182110,9980,172120, その他の保健医療サービス職業従事者
生活衛生サービス職業従事者,833050,269510,563540, 生活衛生サービス職業従事者
理容師,186830,110480,76350, 理容師
美容師,359540,83630,275910, 美容師
美容サービス従事者美容師を除く,109170,5900,103270, 美容サービス従事者美容師を除く
浴場従事者,43810,15900,27900, 浴場従事者
クリーニング職洗張職,133700,53590,80110, クリーニング職洗張職
飲食物調理従事者,1949820,827640,1122180, 飲食物調理従事者
調理人,1942850,822280,1120570, 調理人
バーテンダー,6970,5360,1610, バーテンダー
接客・給仕職業従事者,1662730,516450,1146280, 接客・給仕職業従事者
飲食店主・店長,141640,67860,73780, 飲食店主・店長
旅館主・支配人,26850,18870,7980, 旅館主・支配人
飲食物給仕・身の回り世話従事者,976280,203910,772370, 飲食物給仕・身の回り世話従事者
接客社交従事者,34720,3330,31390, 接客社交従事者
娯楽場等接客員,483240,222480,260760, 娯楽場等接客員
居住施設・ビル等管理人,284770,200730,84030, 居住施設・ビル等管理人
マンション・アパート・下宿・寄宿舎・寮管理人,157910,97620,60290, マンション・アパート・下宿・寄宿舎・寮管理人
ビル管理人,58390,46120,12270, ビル管理人
駐車場管理人,68460,57000,11470, 駐車場管理人
その他のサービス職業従事者,461820,125570,336250, その他のサービス職業従事者
旅行・観光案内人,19650,8650,11000, 旅行・観光案内人
物品一時預り人,1710,750,960, 物品一時預り人
物品賃貸人,76890,42160,34730, 物品賃貸人
広告宣伝員,26280,5910,20370, 広告宣伝員
葬儀師火葬作業員,46510,26670,19840, 葬儀師火葬作業員
他に分類されないサービス職業従事者,290780,41440,249340, 他に分類されないサービス職業従事者
保安職業従事者,1079670,1018560,61110,保安職業従事者
保安職業従事者,1079670,1018560,61110, 保安職業従事者
自衛官,227930,214160,13770, 自衛官
警察官海上保安官,253220,234120,19100, 警察官海上保安官
看守その他の司法警察職員,15030,13850,1180, 看守その他の司法警察職員
消防員,149270,146570,2710, 消防員
警備員,345540,331780,13760, 警備員
他に分類されない保安職業従事者,88670,78090,10590, 他に分類されない保安職業従事者
農林漁業従事者,2347180,1467690,879490,農林漁業従事者
農業従事者,2130810,1288500,842310, 農業従事者
農耕従事者,1814310,1045950,768360, 農耕従事者
養畜従事者,173030,110840,62190, 養畜従事者
植木職造園師,137740,127030,10710, 植木職造園師
その他の農業従事者,5730,4690,1040, その他の農業従事者
林業従事者,51200,48180,3020, 林業従事者
育林従事者,27410,25890,1520, 育林従事者
伐木・造材・集材従事者,18860,18250,610, 伐木・造材・集材従事者
その他の林業従事者,4930,4030,890, その他の林業従事者
漁業従事者,165170,131010,34170, 漁業従事者
漁労従事者,91500,78940,12560, 漁労従事者
船長・航海士・機関長・機関士漁労船,10710,10680,20, 船長・航海士・機関長・機関士漁労船
海藻・貝採取従事者,13810,10010,3800, 海藻・貝採取従事者
水産養殖従事者,44480,30060,14420, 水産養殖従事者
その他の漁業従事者,4680,1310,3370, その他の漁業従事者
生産工程従事者,8410220,5940390,2469830,生産工程従事者
製品製造・加工処理従事者金属製品,1233840,1118600,115240, 製品製造・加工処理従事者金属製品
製銑・製鋼・非鉄金属製錬従事者,38570,37660,910, 製銑・製鋼・非鉄金属製錬従事者
鋳物製造・鍛造従事者,45390,42980,2410, 鋳物製造・鍛造従事者
金属工作機械作業従事者,170010,156700,13310, 金属工作機械作業従事者
金属プレス従事者,74560,63430,11130, 金属プレス従事者
鉄工製缶従事者,73160,70780,2390, 鉄工製缶従事者
板金従事者,93950,89220,4730, 板金従事者
金属彫刻・表面処理従事者,42860,38330,4530, 金属彫刻・表面処理従事者
金属溶接・溶断従事者,191700,183410,8300, 金属溶接・溶断従事者
