統計名：,時系列データ 人口の労働力状態，就業者の産業・職業,,,,,,,,
表番号：,009-2010,,,,,,,,
表題：,職業（小分類），従業上の地位（７区分），男女別15歳以上就業者数－全国（平成22年）,,,,,,,,
実施年月：,2005年,-,,,,,,,
,,,,,,,,,
***,当該数値がないもの,,,,,,,,
-,当該数値がないもの,,,,,,,,
,,,,,,,,,
,,,,,,/男女_時系列 コード,100,110,120
,,,,,,/男女_時系列,総数,男,女
,,,,,,/従業上の地位７区分_時系列（雇用者明細なし） コード,100,100,100
表章項目 コード,表章項目,時間軸（調査年） コード,時間軸（調査年）,職業小分類2010 コード,職業小分類2010,/従業上の地位７区分_時系列（雇用者明細なし）,総数,総数,総数
334,就業者数【人】,2010000000,2010年,0,総数（職業小分類）,,59607700,34099160,25508550
334,就業者数【人】,2010000000,2010年,1,Ａ 管理的職業従事者,,1439180,1242530,196650
334,就業者数【人】,2010000000,2010年,2,(1) 管理的公務員,,59010,53970,5040
334,就業者数【人】,2010000000,2010年,3,1 管理的公務員,,59010,53970,5040
334,就業者数【人】,2010000000,2010年,4,(2) 法人・団体役員,,1111600,949000,162600
334,就業者数【人】,2010000000,2010年,5,2 会社役員,,1058260,905340,152920
334,就業者数【人】,2010000000,2010年,6,3 その他の法人・団体役員,,53350,43660,9680
334,就業者数【人】,2010000000,2010年,7,(3) その他の管理的職業従事者,,268570,239550,29010
334,就業者数【人】,2010000000,2010年,8,4 法人・団体管理的職業従事者,,184130,175470,8650
334,就業者数【人】,2010000000,2010年,9,5 他に分類されない管理的職業従事者,,84440,64080,20360
334,就業者数【人】,2010000000,2010年,10,Ｂ 専門的・技術的職業従事者,,8617020,4577410,4039610
334,就業者数【人】,2010000000,2010年,11,(4) 研究者,,115880,95650,20230
334,就業者数【人】,2010000000,2010年,12,6 自然科学系研究者,,110150,91420,18730
334,就業者数【人】,2010000000,2010年,13,7 人文・社会科学系等研究者,,5730,4230,1510
334,就業者数【人】,2010000000,2010年,14,(5) 技術者,,2153670,1966850,186820
334,就業者数【人】,2010000000,2010年,15,8 農林水産・食品技術者,,49810,41800,8020
334,就業者数【人】,2010000000,2010年,16,9 電気・電子・電気通信技術者（通信ネットワーク技術者を除く）,,292130,281450,10680
334,就業者数【人】,2010000000,2010年,17,10 機械技術者,,203910,195940,7970
334,就業者数【人】,2010000000,2010年,18,11 輸送用機器技術者,,95600,92490,3110
334,就業者数【人】,2010000000,2010年,19,12 金属技術者,,20660,20110,550
334,就業者数【人】,2010000000,2010年,20,13 化学技術者,,73690,63180,10510
334,就業者数【人】,2010000000,2010年,21,14 建築技術者,,215650,196840,18800
334,就業者数【人】,2010000000,2010年,22,15 土木・測量技術者,,242830,236960,5870
334,就業者数【人】,2010000000,2010年,23,16 システムコンサルタント・設計者,,460570,405630,54940
334,就業者数【人】,2010000000,2010年,24,17 ソフトウェア作成者,,323580,277040,46540
334,就業者数【人】,2010000000,2010年,25,18 その他の情報処理・通信技術者,,118610,102830,15770
334,就業者数【人】,2010000000,2010年,26,19 その他の技術者,,56640,52580,4060
334,就業者数【人】,2010000000,2010年,27,(6) 保健医療従事者,,2580400,750800,1829600
334,就業者数【人】,2010000000,2010年,28,20 医師,,262630,211470,51160
334,就業者数【人】,2010000000,2010年,29,21 歯科医師,,92580,72390,20190
334,就業者数【人】,2010000000,2010年,30,22 獣医師,,22290,16290,5990
334,就業者数【人】,2010000000,2010年,31,23 薬剤師,,200470,68220,132250
334,就業者数【人】,2010000000,2010年,32,24 保健師,,37860,510,37360
334,就業者数【人】,2010000000,2010年,33,25 助産師,,24270,-,24270
334,就業者数【人】,2010000000,2010年,34,26 看護師（准看護師を含む）,,1204220,69630,1134590
334,就業者数【人】,2010000000,2010年,35,27 診療放射線技師,,45960,36700,9260
334,就業者数【人】,2010000000,2010年,36,28 臨床検査技師,,71800,21490,50310
334,就業者数【人】,2010000000,2010年,37,29 理学療法士，作業療法士,,94550,46550,48000
334,就業者数【人】,2010000000,2010年,38,30 視能訓練士，言語聴覚士,,15280,2810,12470
334,就業者数【人】,2010000000,2010年,39,31 歯科衛生士,,97370,120,97260
334,就業者数【人】,2010000000,2010年,40,32 歯科技工士,,45520,38250,7270
334,就業者数【人】,2010000000,2010年,41,33 栄養士,,101120,4660,96460
334,就業者数【人】,2010000000,2010年,42,34 あん摩マッサージ指圧師，はり師，きゅう師，柔道整復師,,118710,85240,33480
334,就業者数【人】,2010000000,2010年,43,35 その他の保健医療従事者,,145770,76490,69280
334,就業者数【人】,2010000000,2010年,44,(7) 社会福祉専門職業従事者,,805110,126890,678230
334,就業者数【人】,2010000000,2010年,45,36 保育士,,474900,13160,461750
334,就業者数【人】,2010000000,2010年,46,37 その他の社会福祉専門職業従事者,,330210,113730,216480
334,就業者数【人】,2010000000,2010年,47,(8) 法務従事者,,76310,63940,12370
334,就業者数【人】,2010000000,2010年,48,38 裁判官，検察官，弁護士,,25960,21840,4120
334,就業者数【人】,2010000000,2010年,49,39 弁理士，司法書士,,24070,20970,3110
334,就業者数【人】,2010000000,2010年,50,40 その他の法務従事者,,26270,21130,5150
334,就業者数【人】,2010000000,2010年,51,(9) 経営・金融・保険専門職業従事者,,150900,131280,19620
334,就業者数【人】,2010000000,2010年,52,41 公認会計士,,18250,15710,2540
334,就業者数【人】,2010000000,2010年,53,42 税理士,,57490,50120,7370
334,就業者数【人】,2010000000,2010年,54,43 社会保険労務士,,16630,12460,4180
334,就業者数【人】,2010000000,2010年,55,44 その他の経営・金融・保険専門職業従事者,,58530,52990,5540
334,就業者数【人】,2010000000,2010年,56,(10) 教員,,1391560,706820,684740
334,就業者数【人】,2010000000,2010年,57,45 幼稚園教員,,98190,6140,92050
334,就業者数【人】,2010000000,2010年,58,46 小学校教員,,414410,148540,265880
334,就業者数【人】,2010000000,2010年,59,47 中学校教員,,241030,136400,104640
334,就業者数【人】,2010000000,2010年,60,48 高等学校教員,,277500,186670,90840
334,就業者数【人】,2010000000,2010年,61,49 特別支援学校教員,,69050,27450,41600
334,就業者数【人】,2010000000,2010年,62,50 大学教員,,175940,129420,46520
334,就業者数【人】,2010000000,2010年,63,51 その他の教員,,115440,72210,43230
334,就業者数【人】,2010000000,2010年,64,(11) 宗教家,,113380,97090,16280
334,就業者数【人】,2010000000,2010年,65,52 宗教家,,113380,97090,16280
334,就業者数【人】,2010000000,2010年,66,(12) 著述家，記者，編集者,,109980,70730,39250
334,就業者数【人】,2010000000,2010年,67,53 著述家,,24930,14830,10090
334,就業者数【人】,2010000000,2010年,68,54 記者，編集者,,85050,55900,29150
334,就業者数【人】,2010000000,2010年,69,(13) 美術家，デザイナー，写真家，映像撮影者,,276320,168990,107320
334,就業者数【人】,2010000000,2010年,70,55 彫刻家，画家，工芸美術家,,31200,18400,12800
334,就業者数【人】,2010000000,2010年,71,56 デザイナー,,179570,102280,77290
334,就業者数【人】,2010000000,2010年,72,57 写真家，映像撮影者,,65540,48310,17230
334,就業者数【人】,2010000000,2010年,73,(14) 音楽家，舞台芸術家,,73810,47860,25940
334,就業者数【人】,2010000000,2010年,74,58 音楽家,,22770,13410,9360
334,就業者数【人】,2010000000,2010年,75,59 舞踊家，俳優，演出家，演芸家,,51030,34450,16580
334,就業者数【人】,2010000000,2010年,76,(15) その他の専門的職業従事者,,769700,350500,419190
334,就業者数【人】,2010000000,2010年,77,60 図書館司書，学芸員,,32610,5990,26620
334,就業者数【人】,2010000000,2010年,78,61 個人教師（音楽）,,77500,8450,69050
334,就業者数【人】,2010000000,2010年,79,62 個人教師（舞踊，俳優，演出，演芸）,,20100,5080,15020
334,就業者数【人】,2010000000,2010年,80,63 個人教師（スポーツ）,,91080,42590,48490
334,就業者数【人】,2010000000,2010年,81,64 個人教師（学習指導）,,183570,96060,87500
334,就業者数【人】,2010000000,2010年,82,65 個人教師（他に分類されないもの）,,110790,25770,85020
334,就業者数【人】,2010000000,2010年,83,66 職業スポーツ従事者,,11840,11120,720
334,就業者数【人】,2010000000,2010年,84,67 通信機器操作従事者,,17540,15430,2110
334,就業者数【人】,2010000000,2010年,85,68 他に分類されない専門的職業従事者,,224680,140020,84660
334,就業者数【人】,2010000000,2010年,86,Ｃ 事務従事者,,11076140,4464250,6611900
334,就業者数【人】,2010000000,2010年,87,(16) 一般事務従事者,,7669500,3136270,4533230
