職業,総数,男,女
総数,27795377,17680754,10114623
農業総数,13461317,7428282,6033035
自作,4509978,2463667,2046311
小作,3615962,1984241,1631721
自作兼小作,5335377,2980374,2355003
園芸、造園,67346,51787,15559
牧畜、榨乳、養禽,45029,30822,14207
養蚕,347863,72595,275268
森林業,10681,9713,968
林産物業,178025,146575,31450
狩業,912,901,11
漁獲、採藻,527747,491439,36308
魚介藻養殖,3492,2893,599
？,24553,20237,4316
金属鉱業,59342,52282,7060
石炭鉱業,323668,237923,85745
石油鉱業,8837,8045,792
土石採取業,26454,23836,2618
セメント、石炭,16863,14979,1884
瓦、土管製造,55007,46424,8583
煉瓦製造,19388,15014,4374
陶磁器、土器製造,46756,35467,11289
？,2824,2550,274
硝子、硝子品製造,33337,30634,2703
精錬業,50260,46631,3629
金属圧延業,19827,18105,1722
釘、鋲 、針類製造,11555,10220,1335
？,28760,27863,897
針金細工,5178,4454,724
鍛冶業,146878,143008,3870
鋳物業,58156,56469,1687
銅器、青銅器類製造,9216,8884,332
計測器、科学的機器具類製造,17184,16196,988
時計製造,12334,11619,715
電動機、電機器具製造,35657,31521,4136
原動（機関？）,28326,27746,580
鉄砲、弾丸、水雷製造,36620,30763,5857
紡織機械器具製造,11663,10425,1238
農具、土工具製造,39091,35793,3298
機関車、車両製造,52797,51136,1661
造船業,85109,83567,1542
金属工用、木工用機器具製造,430,395,35
航空機製造,1366,1318,48
？,19669,17147,2522
？,13446,10032,3414
染料、顔料　製造,6055,5462,593
石鹸製造,3651,3041,610
化粧品類製造,3577,2300,1277
？,21535,10037,11498
？,4880,3939,941
油脂類製造,10314,9405,909
蝋、蝋燭製造,3956,3090,866
セルロイド、防水品,21304,17566,3738
漆、其他ノ塗料製造,2637,2373,264
肥料製造,15835,13579,2256
科学分析、検査,1582,1436,146
其他ノ科学工業,5465,4162,1303
生糸製造,380957,54235,326722
人造絹糸製造,467,227,240
？,32605,14594,18011
真綿製造,3854,1054,2800
綿製造,22404,14549,7855
綿絲紡績業,185094,51434,133660
其他ノ紡績業,32120,12742,19378
織物業,473800,115680,358120
毛織物業,29353,10855,18498
？,21956,15066,6890
編物、組物製造,7236,3330,3906
？,19976,9573,10403
？,23076,3986,19090
染色、漂白,117557,99843,17714
洗濯,20624,13581,7043
西洋洗濯業,10027,8896,1131
紙製造,73014,42988,30026
板紙、壁紙,1296,998,298
パルプ,2027,1382,645
紙品製造,27837,21016,6821
表具師,17805,16975,830
皮革製造,6747,6351,396
革製品,9331,8452,879
骨、角、甲、牙細工,16976,14302,2674
印毛,10019,6896,3123
製材業,59691,56530,3161
屋根板製造,90570,87985,2585
？,20252,18331,1921
樽、桶,65942,65196,746
建具、指物,142697,140460,2237
漆器,24576,21284,3292
？,31285,24852,6433
？,27381,6224,21157
？,38638,37139,1499
？,93762,24577,69185
精穀、製粉,80606,58994,21612
麺類,30758,21656,9102
豆腐,61214,28129,33085
菓子,158703,119461,39242
砂糖類,5232,4802,430
麹,5642,3709,1933
